User ID,user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month),k-shell value
14538949,MichelleRempel,370817347.0,77.526,22.053,71.316,41070.0,15015.579,46.474,14.4
162069635,RepCohen,301913379.0,91.913,35.174,13.652,30949.652,73644.174,39.826,14.4
610533,acedtect,411807577.0,79.273,20.545,195.636,2980.727,10444.182,10.273,14.4
309669413,KathleenOssip,272975135.0,15.662,8.167,20.528,221.12,39291.547,3.556,14.4
174736204,Kris_Boulton,299051944.0,15.657,26.306,47.27,127.135,12490.73,9.833,14.4
166154241,graydon_pub,300969216.0,22.792,34.083,70.346,1025.5,68567.5,10.0,14.4
91942557,davidmackkabuki,321043376.0,76.538,95.308,76.538,6105.462,49218.385,84.308,14.4
135483288,alanpeat,308143291.0,23.205,60.478,49.4,64.523,4450.341,8.278,14.4
248186795,coyleneil,282999593.0,131.286,67.857,33.0,9754.786,42874.0,98.643,14.4
15361570,jaredpolis,364424156.0,20.196,25.982,11.821,6451.482,58262.946,5.36,14.4
424277262,MichaelFullan1,257415498.0,19.357,1.51,5.585,629.365,272.346,19.387,14.4
31611298,jahimes,340147287.0,42.135,16.921,27.395,33335.789,129761.053,18.459,14.4
76722822,Catriona_O,326264732.0,14.92,5.104,24.75,64.507,323.213,6.0,14.4
3397145679,TajyMany,141643625.0,10.985,28.47,8.429,293.879,695.576,5.0,14.4
36790140,SirMattBourne,338866983.0,29.241,47.448,35.069,8153.517,18925.621,19.897,14.4
55687338,lraitt,332730835.0,46.767,38.3,22.967,14492.333,30361.433,30.567,14.4
24149001,grantrobertson1,343061036.0,29.043,24.064,15.447,3470.064,4342.766,8.756,14.4
231756759,olebegemann,286375322.0,15.638,19.87,34.0,1157.106,28391.957,6.378,14.4
56864092,RepMikeQuigley,332380157.0,96.963,15.846,8.64,9436.593,33730.481,17.192,14.4
190674658,Graham_IRISC,295519356.0,53.111,50.056,77.222,694.167,27008.0,47.278,14.4
36571263,peacehearty,338937583.0,25.45,24.443,3.479,281.377,17996.918,5.574,14.4
20963651,seanjtaylor,345236674.0,39.579,35.0,96.263,6030.789,39486.789,21.474,14.4
10064382,MartinSFP,385472612.0,207.0,87.571,169.143,1062.0,35180.571,101.857,14.4
265099639,hinxminx,280018256.0,26.905,21.048,96.435,698.478,93547.696,7.111,14.4
20319226,kwamealexander,345971160.0,26.319,27.326,15.978,3679.872,17073.596,10.543,14.4
26598593,danacarvey,341979778.0,7.929,1.583,5.409,1648.347,551.792,1.0,14.4
6527972,randfish,399184310.0,62.0,101.143,300.429,9139.714,410350.571,47.571,14.4
625378411,KostiaKoval,238693255.0,23.8,4.524,64.857,95.135,7545.378,5.583,14.4
146409066,henrikstenson,305557751.0,11.652,2.524,3.607,1605.303,289.803,2.075,14.4
28753531,johndunford,341170366.0,4.903,40.273,4.41,82.015,26361.403,7.662,14.4
67761261,f_francavilla,329097031.0,144.143,79.286,240.714,31242.714,213831.286,26.714,14.4
7954452,cracksh0t,393760704.0,52.714,46.857,356.714,6142.0,625494.571,10.0,14.4
26493787,EricJDickey,342009865.0,79.125,34.938,85.438,2197.438,342625.5,7.733,14.4
14689051,bradlarson,369815689.0,10.628,9.6,13.438,91.375,1197.99,2.804,14.4
