user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
anjali_damania,231256131.0,20.76,61.48,47.6,519,1537,1190,453,3465.2,55497.76,18.875
vikasbajaj,339813366.0,14.593,16.0,5.773,394,432,127,187,83.333,9912.37,7.48
BoniSatani,352038565.0,22.625,26.114,26.311,905,1149,1184,247,107.809,2315.596,7.719
SirScoots,348609056.0,88.5,89.625,228.0,708,717,1824,437,4481.125,6599.75,54.625
SingleForLifey,305074364.0,59.033,40.323,5.652,1771,1250,130,34,23.71,19609.29,2.0
jaymendiratta,306875762.0,6.047,4.435,4.923,260,102,192,128,80.455,1002.127,8.533
UNDPDC,255929121.0,11.567,87.848,2.0,347,2899,2,101,64.121,3706.121,3.367
MahuaMoitra,257187403.0,28.526,1.643,5.4,542,23,54,53,138105.789,31568.526,3.533
year_progress,149250273.0,8.522,1.0,2.579,588,3,49,4,59873.855,14337.826,1.333
OneStory_com,238560058.0,197.5,29.25,24.625,2765,234,197,116,183.786,562.357,14.5
gfiorelli1,344223995.0,81.9,88.5,154.5,819,885,1545,545,613.4,128262.6,54.5
David_Eccles,289478081.0,10.182,8.194,13.167,1008,803,1343,267,56.219,7245.067,4.045
shagunsodhani,177189831.0,2.738,2.591,3.587,178,114,226,59,20.935,3095.429,2.034
pkgurgaon,264426816.0,44.742,48.056,2.2,1387,1730,33,143,1063.158,57100.737,5.107
alexia,349984385.0,24.5,12.333,42.167,147,74,253,69,4020.167,22645.333,11.5
nikhilesh7,329910441.0,4.414,1.375,8.971,256,22,610,6,14.865,557.809,1.2
CharlesRexha,72105264.0,123.667,810.667,137.667,371,2432,413,371,250.0,235631.333,123.667
atulkannaujvi,288942540.0,7.658,4.75,3.139,605,114,113,35,2.963,2093.025,3.5
shamsforjustice,244230757.0,22.862,4.1,4.607,2149,41,258,60,41.253,676.242,5.0
wefollow,349299747.0,4.5,36.0,2.25,63,468,9,3,47.56,132.2,1.0
abhishekaitc,308379858.0,12.38,5.075,4.632,1238,406,176,287,2899.235,1795.441,7.175
monishaadvani,155444497.0,13.451,42.783,9.762,686,1968,410,1112,242.86,13092.439,21.804
danielwilsonPZ,238072101.0,4.13,4.016,1.929,223,253,27,22,19.042,441.917,1.692
danieldennett,225008605.0,6.215,1.391,1.595,578,32,59,38,1439.032,1173.042,1.462
george_szirtes,265124068.0,48.727,26.606,23.0,1608,878,759,178,1300.03,13463.818,5.562
IAmMohdFarhan,298753585.0,7.676,5.304,1.8,545,297,45,69,1.558,28915.07,3.136
Anupam_Guha,85805163.0,68.688,15.875,116.5,1099,254,1864,267,6787.438,4982.062,16.688
DogeMocenigo,344337136.0,31.75,247.375,115.375,254,1979,923,282,156.5,855423.375,35.25
bevyshopping,242395611.0,24.846,0.0,1.0,646,0,1,0,0.846,0.115,0.0
kittywenham,177046029.0,59.0,72.6,189.8,590,726,1898,257,1854.1,665182.4,25.7
addyosmani,339261589.0,12.903,8.548,83.387,400,265,2585,58,24558.419,35306.935,2.231
blackrock,343221521.0,42.371,9.737,2.393,2627,555,67,37,603.419,370.242,1.37
cyalm,336284701.0,42.5,157.0,0.0,85,314,0,119,4227.0,273926.0,59.5
hdmoore,363058128.0,3.0,7.615,9.885,75,198,257,30,436.577,773.192,1.579
ashulazy8,206153759.0,1.5,8.745,1.857,12,446,39,111,0.089,35573.393,3.364
SQLCindy,288937353.0,10.512,9.301,3.321,862,865,176,47,6.365,5894.808,2.043
chelsailama,343535516.0,33.538,127.846,75.308,436,1662,979,437,396.538,1966625.154,33.615
MikeLuttermoser,152661834.0,6.083,5.238,1.7,219,220,51,9,7.673,36658.964,1.5
DipaKarmakar,108770164.0,6.804,4.459,2.867,347,165,43,167,6265.49,2602.255,4.514
manrajsgrover,326622122.0,3.742,3.183,3.929,232,191,220,46,12.268,3526.537,1.704
ConorMurrayYT,276332700.0,38.182,4.778,23.182,420,43,255,0,1.533,861.933,0.0
GulzarPoetry,261742691.0,12.81,2.714,2.0,538,38,4,0,1242.209,970.395,0.0
bipashabasusays,272544403.0,8.267,31.682,2.077,124,697,27,0,2.72,103.56,0.0
AbouVDIABY,280238055.0,2.304,5.437,2.0,106,386,20,31,843.829,22155.207,1.409
Hindus4HR,12080693.0,46.0,11.118,8.562,828,189,137,226,296.889,41726.444,13.294
rgruia,360055921.0,464.6,176.0,55.833,2323,528,335,57,370.333,33001.5,19.0
MarleeMatlin,342137228.0,35.145,6.375,6.167,2425,408,407,639,28684.739,15211.406,9.682
DendiBoss,265425510.0,14.949,15.633,10.449,1181,1235,815,55,8997.722,7013.177,1.667
LifeMathMoney,53371014.0,211.5,79.0,133.0,423,316,266,106,82894.5,24167.75,53.0
AstroBehnken,180072439.0,11.449,3.404,4.167,561,160,50,115,32163.9,10408.38,4.107
sparker,263271235.0,6.19,2.364,14.2,260,52,213,1,272.745,657.277,1.0
DonRickles,275534503.0,4.864,1.0,1.667,535,1,20,0,2319.2,403.073,0.0
SherwinBitsui,297958641.0,8.378,11.08,5.469,821,1252,350,462,143.781,31601.623,7.966
SanjivReddi,73645501.0,4.265,18.821,2.333,145,527,28,31,38.882,13334.529,2.583
triptoes,309615550.0,29.833,63.833,173.083,358,766,2077,210,183.417,358704.75,17.5
Rkbahadur1,156016464.0,1.0,249.636,42.909,2,2746,472,284,40.636,676029.455,25.818
ramhemmige,216936794.0,12.062,2.091,2.667,772,23,8,53,32.484,37.062,5.889
dreamzdotcom,323507481.0,68.0,79.5,662.0,272,318,2648,202,10395.25,37583.25,50.5
RamsingPatil,141752537.0,1.0,1051.0,0.0,1,3153,0,473,0.0,191104.333,236.5
samyra_md,90994692.0,10.3,6.0,14.135,412,168,523,130,100.047,1093.442,5.652
SicK_cs,153949013.0,12.465,5.034,9.662,885,297,657,27,1694.732,2093.521,1.286
sptiwari97,200746732.0,38.224,13.067,15.837,1873,588,776,1567,143.163,23704.306,31.98
ASHISH225,332420114.0,4.585,3.133,2.667,486,188,176,43,5.914,2298.422,2.389
anandgopan,305447649.0,5.554,2.316,5.042,311,88,121,10,0.441,1479.074,1.667
nik_lugi,47315762.0,7.967,3.609,11.667,239,83,350,126,615.5,276.933,4.667
Trinitek,333178013.0,38.353,30.588,25.676,1304,1040,873,165,32.059,580264.529,6.346
gitagovinda,356730654.0,43.0,35.5,173.0,43,71,173,35,281.5,287571.0,35.0
hochstenbach,372453121.0,12.252,5.081,10.886,1409,564,1241,47,18.902,2113.549,1.343
RonConway,335835863.0,5.527,3.545,1.4,619,312,21,125,304.204,7796.664,2.778
apurvadesai,395019294.0,5.587,5.206,4.0,676,557,416,140,1.241,4879.607,2.917
Astro_Doug,278305191.0,3.49,4.938,2.118,171,321,36,113,19579.592,6826.197,2.457
clouddirect,337697911.0,43.017,14.914,7.765,2538,522,132,453,30.356,167.034,18.12
