user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
Madonna,249254523.0,42.289,1.643,1.182,3214,23,13,7,173145.092,32798.539,1.167
maggiesmithpoet,164326171.0,57.571,153.429,252.143,403,1074,1765,503,39896.714,229929.857,71.857
MahelaJay,267263349.0,27.775,10.423,3.538,2222,813,138,1214,14971.175,6244.125,16.861
MarceloM12,227690835.0,13.731,8.19,2.929,1277,516,123,96,56199.084,21202.284,2.233
margaretmz,336165406.0,9.224,9.921,3.755,618,754,199,123,107.713,1235.688,2.617
MargotRobbie,273567537.0,3.96,1.0,5.857,297,7,123,4,6750.215,1362.684,1.0
MariahCarey,347521869.0,38.673,13.412,8.8,2127,684,396,809,497169.818,95329.236,14.981
MariaSharapova,276157997.0,24.067,10.118,3.897,2142,860,113,746,59153.809,14200.371,10.657
mariobarth,202869584.0,18.646,1.971,1.6,1473,69,24,7,647.635,92.094,1.0
MarkFieldUK,324638103.0,16.713,9.128,1.629,1688,858,57,201,349.951,789.608,6.091
markgurman,360487003.0,53.12,23.52,53.32,1328,588,1333,470,19879.92,40319.84,18.8
MarkMeadows,226445950.0,42.225,34.775,6.045,1689,1391,133,720,354498.075,171414.675,18.462
MarkRPriestley,247739997.0,101.75,211.25,104.286,814,1690,730,665,1339.25,321543.0,83.125
MarkRuffalo,334945373.0,95.5,286.0,22.0,764,2288,176,864,769439.0,1737041.75,108.0
markwahlberg,311031725.0,9.955,2.07,3.0,1334,147,42,139,22585.735,3440.059,2.439
MartinSFP,385472612.0,207.0,87.571,169.143,1449,613,1184,713,1062.0,35180.571,101.857
Martyguptill,284268987.0,11.5,14.3,14.08,1127,1001,1056,38,1343.394,418.279,1.52
MartynReah,346343424.0,54.333,206.667,99.222,489,1860,893,619,602.333,50298.444,68.778
marxjohnson,345385420.0,7.0,21.179,13.464,189,593,377,169,87.286,78579.25,6.036
maryjofoley,334369953.0,46.0,16.273,233.182,506,179,2565,73,2755.182,2265.818,6.636
MaryLouMcDonald,305003305.0,50.786,128.929,51.571,711,1805,722,518,55797.071,21586.429,37.0
mathsjem,180021916.0,28.077,81.538,140.0,365,1060,1820,305,2517.692,4793.923,23.462
math_rachel,212138890.0,32.238,42.762,79.476,677,898,1669,839,7086.857,27435.333,39.952
MattBesser,330333031.0,15.517,6.991,6.25,1862,769,600,311,689.672,367.869,4.785
mattcutts,404621129.0,15.02,10.048,45.156,736,422,2032,205,1427.46,8707.1,4.659
MatthewPerry,340610532.0,11.388,2.738,2.878,1173,115,118,2,22418.19,3610.486,1.0
Matt_LeBlanc,131602399.0,8.034,3.87,9.733,233,89,146,94,12887.088,4784.676,5.529
mat,417757584.0,86.444,200.889,72.222,778,1808,650,460,3662.778,293684.222,51.111
MCHammer,400036167.0,352.0,208.25,249.75,1408,833,999,957,51765.75,52330.5,239.25
MClarke23,320881900.0,32.554,5.872,6.075,2702,229,243,1112,22076.738,2754.369,16.597
mcleod,403724414.0,396.0,340.5,71.75,1584,1362,287,1007,661.5,422006.5,251.75
mer__edith,180012016.0,37.857,281.571,142.0,265,1971,994,878,8526.429,213206.571,125.429
MesutOzil1088,247578429.0,18.644,1.167,2.871,1883,28,89,223,537934.446,105510.624,4.848
mgigaba,140957662.0,39.703,18.333,37.107,1469,605,1039,589,1897.324,2296.459,17.324
mgsiegler,410988751.0,82.455,99.455,113.0,907,1094,1243,498,6065.091,559835.545,45.273
MichaelFullan1,257415498.0,19.357,1.51,5.585,1897,77,458,1454,629.365,272.346,19.387
MichaelPhelps,287896350.0,21.308,9.268,5.0,2280,658,235,80,9987.054,5596.464,2.353
MichaelVaughan,318769202.0,105.12,27.773,1.167,2628,611,7,999,270682.88,40885.68,41.625
MichelleRempel,370817347.0,77.526,22.053,71.316,1473,419,1355,883,41070.0,15015.579,46.474
migueldeicaza,406607865.0,50.5,29.25,732.5,202,117,2930,247,15027.25,49278.75,61.75
MikeIsaac,347940911.0,62.875,44.625,297.875,503,357,2383,199,53657.125,148353.75,24.875
MikeTrout,305840960.0,12.317,12.553,7.575,1281,1293,606,55,32131.324,18198.362,1.667
mikeyfuntime,328243372.0,3.055,2.512,11.0,168,108,748,49,551.207,2986.793,1.885
mikko,343328809.0,52.25,85.5,268.0,418,684,2144,504,19965.375,90206.125,63.0
mims,405500321.0,26.0,2.529,96.5,52,43,193,16,475.529,934.647,8.0
MissaCSGO,156773185.0,6.041,6.259,13.343,296,338,934,42,74.438,3812.411,2.0
missmorenab,285973226.0,19.455,5.991,4.365,2354,659,227,91,25576.379,9790.613,3.138
missyfranklin,265153080.0,14.009,6.434,11.938,1527,637,955,90,3665.848,31434.33,2.143
Mitch_Savage,231575256.0,20.237,3.163,31.95,1194,136,1917,356,21116.4,5716.4,6.357
mizesoundguy,266887085.0,17.677,1.875,86.645,548,15,2686,109,120.742,7988.452,4.542
mjburnsy,353978726.0,14.909,6.647,11.165,1476,565,1150,45,31.78,39137.042,1.607
MNunezOfficial,183983009.0,10.831,31.133,10.056,639,1868,543,400,1250.533,1881.017,6.897
mobrowne,358011825.0,96.909,95.182,102.364,1066,1047,1126,389,5959.636,182196.0,35.364
MoSalah,185628243.0,11.068,2.946,5.455,974,165,360,10,733098.727,63954.636,1.429
moskov,343497366.0,8.056,19.057,63.5,290,667,2286,298,1739.194,92958.417,8.765
MrAndiPrice,235905550.0,135.875,166.0,98.75,1087,1328,790,1140,583.25,1180.75,142.5
MrBoothY6,143538266.0,76.0,16.0,547.8,380,80,2739,74,22253.4,2785.0,14.8
MrJJMitchell,177644946.0,3.621,1.756,4.257,210,79,149,16,5.576,162.667,1.143
MrNishKumar,304135937.0,58.273,44.0,46.667,1282,968,980,1070,157386.227,142166.727,48.636
MRodOfficial,333947417.0,31.363,3.46,5.05,2854,173,202,129,10243.824,5243.066,2.345
mxcl,404352432.0,13.628,3.947,12.788,586,75,422,89,1073.791,6761.279,3.069
n00py1,153373659.0,7.896,25.204,33.245,379,1235,1629,167,430.776,13313.061,3.795
NAFFLY,169437242.0,9.988,3.076,13.387,809,203,1071,23,8691.598,554.463,1.15
NastiaPav,233237158.0,20.094,9.366,6.344,1929,871,387,449,1630.041,801.753,6.507
nathenstridge,326487098.0,6.855,4.922,5.203,521,315,307,37,146.148,6311.506,2.643
NBallingrud,241049903.0,24.969,6.733,70.281,799,202,2249,349,1990.0,13051.5,11.258
neilabercrombie,384711636.0,77.348,55.545,9.75,1779,1222,195,0,59.261,943.043,0.0
neill_bob,190715082.0,20.812,71.906,8.625,666,2301,276,645,1472.094,13531.188,20.156
Nevecampbell10,227983026.0,9.25,20.973,14.279,666,1552,971,192,108.203,2556.73,4.364
newtgingrich,345526912.0,172.231,69.385,5.75,2239,902,69,123,453615.154,170688.615,10.25
neymarjr,302756433.0,25.105,1.86,17.414,2159,80,1010,110,1146069.872,142378.756,2.973
NgatiBird,240408099.0,17.639,9.415,15.678,1464,772,925,93,316.707,1579.152,2.268
nickjonas,332398375.0,40.047,10.185,3.216,2563,550,119,476,433041.625,71281.078,8.207
NickyMorgan01,339413024.0,36.951,32.732,9.439,1515,1342,387,650,2577.293,8098.829,16.25
NicolaSturgeon,302171658.0,53.4,90.15,18.55,1068,1803,371,812,469648.65,115216.45,40.6
NicoRosberg,313586243.0,32.986,4.333,9.483,2408,273,569,659,45094.63,8804.438,9.985
Nigel_Farage,347980973.0,75.212,22.424,1.5,2482,740,12,475,469812.545,139824.576,14.394
nikkikaye,331308806.0,32.492,7.316,15.107,1917,417,846,45,668.033,1713.45,1.8
Ninja,290575146.0,69.111,58.944,50.667,1244,1061,912,266,917817.056,308748.778,14.778
nitr0,166563676.0,30.574,5.519,24.241,1651,287,1309,171,37300.185,17325.333,3.8
nottjmiller,346262230.0,77.2,15.75,38.917,1930,378,934,487,2560.08,64120.44,20.292
novelista,347221406.0,19.577,12.667,10.493,1527,874,703,169,98.963,9905.7,3.189
NSRiazat,336479853.0,34.875,153.933,23.733,558,2309,356,213,163.312,43282.312,14.2
